Date mutation,Valeur fonciere,Code postal,Commune,Type local,Surface reelle bati,prix_m2
12/07/2024,1000000.0,10130,EAUX PUISEAUX,Maison,72.0,13888.888888888889
23/07/2024,1200000.0,10160,BERULLE,Maison,95.0,12631.578947368422
07/08/2024,500000.0,10310,VILLE SOUS LAFERTE,Maison,52.0,9615.384615384615
04/09/2024,991500.0,10260,JULLY SUR SARCE,Appartement,107.0,9266.355140186915
04/09/2024,991500.0,10260,JULLY SUR SARCE,Appartement,61.0,16254.098360655738
17/09/2024,1166666.0,10290,VILLADIN,Maison,120.0,9722.216666666667
17/09/2024,1166666.0,10290,VILLADIN,Maison,120.0,9722.216666666667
17/09/2024,1166666.0,10290,VILLADIN,Maison,120.0,9722.216666666667
19/09/2024,3000000.0,10210,PRUSY,Maison,160.0,18750.0
17/09/2024,517500.0,10150,CHARMONT-SOUS-BARBUISE,Maison,190.0,2723.684210526316
30/09/2024,350000.0,10000,TROYES,Appartement,99.0,3535.3535353535353
12/09/2024,1500000.0,10600,LA CHAPELLE ST LUC,Appartement,81.0,18518.51851851852
24/09/2024,120000.0,10300,SAINTE SAVINE,Appartement,44.0,2727.2727272727275
10/10/2024,1500000.0,10130,BERNON,Maison,79.0,18987.3417721519
17/10/2024,300000.0,10000,TROYES,Appartement,53.0,5660.377358490566
18/10/2024,1000000.0,10140,LA VILLENEUVE AU CHENE,Appartement,100.0,10000.0
31/10/2024,3300000.0,10400,SOLIGNY LES ETANGS,Maison,182.0,18131.86813186813
30/10/2024,160000.0,10250,COURTERON,Maison,50.0,3200.0
12/11/2024,900000.0,10310,LONGCHAMP SUR AUJON,Maison,200.0,4500.0
17/05/2024,500000.0,10210,VILLIERS LE BOIS,Maison,48.0,10416.666666666666
21/11/2024,120000.0,10000,TROYES,Appartement,65.0,1846.1538461538462
21/11/2024,120000.0,10000,TROYES,Appartement,66.0,1818.1818181818182
21/11/2024,120000.0,10000,TROYES,Appartement,88.0,1363.6363636363637
02/12/2024,600000.0,10130,BERNON,Maison,75.0,8000.0
03/12/2024,1350000.0,10400,NOGENT SUR SEINE,Maison,74.0,18243.243243243243
18/01/2024,280000.0,11000,CARCASSONNE,Maison,190.0,1473.6842105263158
25/01/2024,2000000.0,11160,PEYRIAC MINERVOIS,Maison,160.0,12500.0
08/02/2024,900000.0,11600,CONQUES-SUR-ORBIEL,Maison,100.0,9000.0
